Q13526	Thomas%20malthus.jpg
Q13529	Alfred%20Marshall.jpg
Q13894	RichardStraussSignature.svg
Q13909	Angelina%20Jolie%20autograph.svg
Q13914	Yann%20Martel%20signature%20%28cropped%29.jpg
Q14060	Erwin%20Rommel%20Signature.svg
Q14277	William%20Herschel%20Signature.svg
Q14279	Giovanni%20Domenico%20Cassini%20signature.png
Q14430	Ignacy%20Daszy%C5%84ski%20signature.svg
Q15001	Griboyedov%20Signature.svg
Q15189	Paul%20I%20signature.svg
Q15193	Alexander%20I%20of%20Russia%20signature.svg
Q15572	UnterschriftSpix.tif
Q15809	Ivan%20Cankar%20signature%202.jpg
Q15935	Kanyewestsignature.svg
Q15975	Signatur%20Charles%20de%20Secondat%2C%20Baron%20de%20Montesquieu.PNG
Q15981	Signature%20de%20Robert%20Schuman%20-%20Archives%20nationales%20%28France%29.png
Q16019	Wolfgang%20Sch%C3%A4uble%20Signature.svg
Q16390	Humphrey%20Bogart%20signature.svg
Q16397	Signature%20of%20Bruce%20Lee.svg
Q16409	Tristan%20Tzara%27s%20signature%201946-12-08.svg
Q16571	Signatur%20Justus%20von%20Liebig.PNG
Q16867	Edgar%20Allan%20Poe%20Signature.svg
Q16975	Signature%20paolo%20vi.svg
Q17293	Dalai%20Lama%27s%20Signature.svg
Q17410	Zhou%20Enlai%20Signature.svg
Q17575	%D0%90%D0%B2%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%20%D0%9B%D1%83%D0%B8%D0%B4%D0%B6%D0%B8%20%D0%94%D0%B0%D0%BB%D0%BB%D0%B0%D0%BF%D0%B8%D0%BA%D0%BA%D0%BE%D0%BB%D1%8B.jpg
Q17905	Martin%20Schulz%20Unterschrift.svg
Q18363	FirmaAlfonsoXIII%20%28v%29.svg
Q18404	Barbusse%20Signature.svg
Q18434	Leon%20Blum%20signature.png
Q18456	Bertha%20von%20Suttner%20sign.png
Q18712	Signatur%20Georg%20Klapka.PNG
Q18832	S%C5%82awomir%20Mro%C5%BCek%20faksymile%20%28cropped%29.png
Q19008	Arthur%20Balfour%20Signature.svg
Q19185	George%20Bernard%20Shaw%20signature.svg
Q19425	GRW125%20Vyazemskij%20signature.png
Q19673	Al%20Gore%20Signature%203.svg
Q19837	Steve%20Jobs%20signature.svg
Q19878	Muammar%20al-Gaddafi%20Signature.svg
Q20733	Signature%20Georges%20Duhamel.jpg
Q20951	%C3%89lis%C3%A9e%20Reclus%20Signature.png
Q21119	Liliencron%20Signature.gif
Q22530	Forel%20Signature%20%28cropped%29.PNG
Q22670	Friedrich%20Schiller%20Signature.svg
Q22686	Donald%20Trump%20%28Presidential%20signature%29.svg
Q22714	May.gif
Q23114	Lu%20Xun%27s%20Signature.svg
Q23380	Ingres%20autograph.png
Q23434	Ernest%20Hemingway%20Signature.svg
Q23559	Benito%20Mussolini%20Signature.svg
Q23685	Jimmy%20Carter%20Signature-2.svg
Q23810	Alfred%20Nobel%20Signature.svg
Q23848	EM-Signature.svg
Q23873	John%20XXIII%20signature.svg
Q24348	GRW479%20Melshin%20signature.png
Q24829	Orson%20Welles%20signature.svg
Q25089	Woody%20Allen%20signature.svg
Q25120	Pier%20Paolo%20Pasolini%20signature.svg
Q25310	Robert%20Kennedy%20Signature.svg
Q25649	Saul%20Alinsky%20%28autograph%29.jpg
Q25973	Hesse%20Signature.svg
Q26408	Bonnard%2C%20Pierre%201867-1947%20deWP.jpg
Q26702	Cardinal%20Richelieu%20Signature.svg
Q26993	Unterschrift%20Theodor%20Storm%20%281817%E2%80%931888%29%20deutscher%20Schriftsteller.png
Q27610	Signature%20of%20Kosztol%C3%A1nyi.jpg
Q27645	Mikhail%20Bakunin%20%28signature%29.svg
Q27913	Paulsen.signatur.1909.jpg
Q28085	Adolf%20Eichmann%20%28signature%29.svg
Q28189	AbdusSalamBlackpenAutograph.png
Q28480	Max%20Brod%20signature.jpg
Q28494	Heinrich%20von%20Kleist%20Unterschrift.svg
Q28975	Christopher%20Marlowe%20Signature.svg
Q29297	Signatur%20Carl%20Ritter.PNG
Q29418	John%20Ashbery%20signature.svg
Q30487	Gorbachev%20Signature.svg
Q30547	Mother%20Teresa%2C%20signature.svg
Q30755	Auguste%20Rodin%20signature.svg
Q30755	Auguste%20Rodin%27s%20signature.JPG
Q30875	Oscar%20Wilde%20Signature.svg
Q31353	Ad%C3%A8le%20Haenel%20signature.svg
Q31628	Signature%20of%20Sergei%20Yesenin.svg
Q32257	Christoph%20Wilhelm%20Hufeland%20signum%20anno%201830.jpg
Q32500	Firma%20Emperador%20Carlos%20V.svg
Q32505	Souvenir%20Henry%20Irving-009-2.jpg
Q33391	Leon%20Trotsky%20Signature.svg
Q33477	Delacroix%20autograph.svg
Q33550	Federic.PNG
Q33550	Signatur%20Friedrich%20II.%20%28Preu%C3%9Fen%29.svg
Q33550	Signature%20of%20Frederick%20the%20Great.svg
Q33760	Bertrand%20Russell%20signature.svg
Q33977	Firma%20de%20Julio%20Verne.svg
Q33978	Signature%20of%20Robert%20Delaunay%2C%201914.jpg
Q34012	Marlon%20Brando%20signature.svg
Q34013	Seurat%20autograph.png
Q34060	Yitzhak%20Rabin%20signature.svg
Q34189	Firma%20Pablo%20Neruda.svg
