1003478-X	Europ%C3%A4ische_Gemeinschaft_f%C3%BCr_Kohle_und_Stahl
1003482-1	Sacra_Rituum_Congregatio
1003491-2	%C3%89cole_pratique_des_hautes_%C3%A9tudes
1003497-3	%C3%89cole_fran%C3%A7aise_de_Rome
1003505-9	Eichendorff-Gesellschaft
100351190	Julius_Ludwig_Ideler
10035228-5	Muzeum_Gda%C5%84ska
100352952	August_Adolph_von_Haugwitz
100353231	Karl_Renatus_Hausen
100353304	Karl_Gottlob_Hausius
100354270	Johann_Reinhard_Hedinger
100354572	Joseph_von_Hefner
1003559-X	Ernst-Barlach-Haus
100356486	Friedrich_Karl_Gottlob_Hirsching
100356877	Carl_von_Hock
100357113	Johann_Daniel_Albrecht_Hoeck
100357636	Johann_Georg_Albrecht_H%C3%B6pfner
100358098	Karl_Christoph_Hofacker
10035835-4	Di%C3%B6zesanmuseum_Eichst%C3%A4tt
1003599-0	Marketing-_und_Verlagsservice_des_Buchhandels
100360483	Johann_Wonnecke_von_Kaub
100363105	Christian_Gottlieb_J%C3%B6cher
100367062	Heinrich_Ludwig_Lehmann
10036890-6	Villa_Aurora
1003698-2	Bayerische_Verwaltung_der_staatlichen_Schl%C3%B6sser%2C_G%C3%A4rten_und_Seen
100369979	Johann_Friedrich_Lobstein_%28Mediziner%2C_1777%29
100370381	Johann_Wilhelm_L%C3%B6bell
100370896	Ludwig_L%C3%B6w_von_und_zu_Steinfurth_%28Gerichtspr%C3%A4sident%29
100371310	Jean_Louis_Delolme
100371922	Marcus_Lycklama_%C3%A0_Nijeholt
10037195-4	Institut_f%C3%BCr_Staatspolitik
100372724	Gerold_Meyer_von_Knonau_%28Archivar%29
100374794	Ludwig_Walrad_Medicus
10037784X	Heinrich_Ferdinand_M%C3%B6ller
10037806-7	Schloss_Neuhardenberg
10037841-9	Thomas-M%C3%BCntzer-Gesellschaft
10037886-9	University_of_Hawai%CA%BBi_at_M%C4%81noa
100379397	Francesco_Maria_Molza
100381464	Ignaz_Perner
10038384X	Johann_Gottfried_Pahl
1003849-8	Allgemeine_%C3%84rztliche_Gesellschaft_f%C3%BCr_Psychotherapie
100385702	Joseph_Friedrich_von_Racknitz
10038587-4	Staatliche_Fachakademie_f%C3%BCr_Fotodesign_M%C3%BCnchen
1003864-4	Berliner_Gesellschaft_f%C3%BCr_Anthropologie%2C_Ethnologie_und_Urgeschichte
10038641-6	IWF_Wissen_und_Medien
1003867-X	Allgemeine_Anthroposophische_Gesellschaft
100387705	Gottlob_Heinrich_von_Rapp
10039212-X	Andere_Zeiten
1003922-3	Ford_Foundation
1003939-9	Bertrand_Russell_Peace_Foundation
1003945-4	Wenner-Gren_Foundation_for_Anthropological_Research
100395015	Friedrich_Wilhelm_Reimnitz
10039535X	Karl_Reinhard_%28Schriftsteller%29
100395368	Christian_Tobias_Ephraim_Reinhard
1004001-8	Royal_Anthropological_Institute_of_Great_Britain_and_Ireland
100400159	Aloys_Schreiber
100400965	Jacob_Schuback
100401961	Johannes_Schulthess
1004046-8	British_Film_Institute
10040527-7	Reiss-Engelhorn-Museen
100405479	Georg_Friedrich_Sartorius
10040797-3	Kompetenzzentrum_%E2%80%93_Trier_Center_for_Digital_Humanities
10040803-5	Republikanische_Partei_Deutschlands_%281924%29
10040950-7	VGH-Stiftung
10041041-8	Deutsches_Institut_f%C3%BCr_Menschenrechte
10041267X	Heinrich_Arnold_Stockfleth
10041463X	Johannes_Baptista_von_Albertini
10041544X	Amalie_Auguste_von_Bayern
100416993	Carl_Ludwig_Arndts_von_Arnesberg
100422004	Karl_Baldamus
10042320-6	Lentos_Kunstmuseum_Linz
100425151	Hubert_Beckers
10042613-X	Kronberg_Academy
100428649	Xavier-Boniface_Saintine
100429521	Giuseppe_Bossi_%28Maler%29
10043194-X	Gossner_Mission
10043345-5	Polskie_Linie_Lotnicze_LOT
10043603-1	Varnhagen_Gesellschaft
10043872-6	Duisburger_Philharmoniker
100441505	Aaron_Chorin
10044220X	Karl_I._%28Braunschweig-Wolfenb%C3%BCttel%29
1004432-2	McGill_University_Institute_of_Islamic_Studies
10044332-1	F%C3%BCrstlich_Waldecksche_Hofbibliothek
1004449-8	New_York_Institute_of_Technology
10044490-8	Universit%C3%A4t_zu_L%C3%BCbeck
10044701-6	Kleist-Museum
1004483-8	Taylor_Institution
10045068-4	Initiativen_der_Ver%C3%A4nderung
10045279-6	Bl%C3%BChendes_Barock
1004537-5	Neue_Helvetische_Gesellschaft
1004538-7	Heraldisch-Genealogische_Gesellschaft_%E2%80%9EAdler%E2%80%9C
10045429-X	Hochschul-_und_Landesbibliothek_Fulda
100458041	Carit_Etlar
100458734	Andreas_von_Dippel
10045985-7	Hessische_Landesvertretung_beim_Bund
1004600-8	P%C3%A4dagogische_Hochschule_Westfalen-Lippe
1004601-X	Hochschule_f%C3%BCr_Philosophie_M%C3%BCnchen
1004607-0	Philosophisch-Theologische_Hochschule_Sankt_Georgen
10046171-2	Internationale_Weiterbildung_und_Entwicklung
10046559-6	Heinrich-von-Kleist-Schule_Bochum
10046625-4	%C3%96sterreichische_Mediathek
1004670-7	Schweizerischer_B%C3%BChnenverband
100468365	Nicolaus_Joachim_Guilliam_Evers
100468691	Schack_Hermann_Ewald
10046995-4	P%C3%A4dagogische_Hochschule_Z%C3%BCrich
100470106	Joseph_Weigl
10047209-6	Rechtswissenschaftliche_Fakult%C3%A4t_der_Universit%C3%A4t_Wien
100472958	Carl_Christian_von_Flatt
1004734-7	Art_Institute_of_Chicago
100474640	Jos%C3%A9_Mo%C3%B1ino_y_Redondo
10047511-5	Neue_B%C3%BChne_Senftenberg
1004757-8	Gottfried-Wilhelm-Leibniz-Gesellschaft
10047879-7	Stichting_Pensioenfonds_ABP
100479111	Conrad_Heinrich_Fuchs
100479707	Jacob_Eberhard_Gailer
10048091-3	Theater_53
10048347-1	Allgemeiner_%C3%96sterreichischer_Frauenverein
100487483	Carl_Johann_Greith
10048905-9	Grundst%C3%BCcks-_und_Geb%C3%A4udewirtschafts-Gesellschaft_Chemnitz
10048946X	Karl_Heinrich_von_Gleichen
10049073-6	Bucerius_Kunst_Forum
100491472	Michael_Gr%C3%B6ll
1004926-5	Internationales_Institut_f%C3%BCr_Sozialgeschichte
1004931-9	Nordfriisk_Instituut
100494056	Karl_Hahn_%28P%C3%A4dagoge%2C_1778%29
100495516	Garlieb_Hanker
100497411	Henrik_van_Herwerden
10049787-1	Die_Goldenen_Zitronen
10049840-1	Die_Braut_haut_ins_Auge
100499635	Heimbert_Paul_Friedrich_Hinze
100499651	Hipparchos_%28Astronom%29
10050375-5	Universit%C3%A4t_Duisburg-Essen
10050433-4	Landgericht_Hildesheim
1005045-0	Deutsche_Gesellschaft_f%C3%BCr_Innere_Medizin
10050533-8	Museum_Ladin
1005061-9	Internationale_Gesellschaft_f%C3%BCr_Neue_Musik
1005067-X	Gesellschaft_der_Musikfreunde_in_Wien
10050709-8	Th%C3%BCringer_Symphoniker_Saalfeld-Rudolstadt
1005082-6	Naturforschende_Gesellschaft_Schaffhausen
1005100-4	Deutsche_Olympische_Gesellschaft
100510140	Johann_Dieterich_Leyding
100510558	Johann_Ludwig_Konrad_Allendorf
10051085-1	Deutsche_Druck-_und_Verlagsgesellschaft
10051110-7	Fritz_Heyder_Verlag
100513905	Konstantin_zu_L%C3%B6wenstein-Wertheim-Rosenberg
1005140-5	H._C._Andersens_Hus
10051634-8	Deutsch-Franz%C3%B6sische_Hochschule
10051662-2	Deutsches_Kulturforum_%C3%B6stliches_Europa
100519075	Anton_Lutterbeck
1005204-5	Instytut_Zachodni
100521878	Alois_von_Medny%C3%A1nszky
1005233-1	Istituto_Affari_Internazionali
100524133	Carl_August_Menzel
10052576-3	Stiftung_zur_Bewahrung_kirchlicher_Baudenkm%C3%A4ler_in_Deutschland
10052857-0	Wellk%C3%BCren
100529372	Maria_Mnioch
100529577	Hermann_Ludwig_Nadermann
10052963-X	E.T.A._Hoffmann-Haus
100532535	Charlotte_Elisabeth_Nebel
